Type,Part Number,Brand,Model,Rank,Benchmark,Samples,URL,part_id,socket,memory_type_supported,tdp_w_est,market_status,inference_confidence,price_krw_estimate,price_basis,price_currency,price_reference_date,data_warning,compatible_motherboard_ids,compatible_cooler_ids,gpu_family,vram_gb_est,pcie_interface,required_psu_w_est,length_mm_est,power_connector_est,compatible_psu_ids,compatible_case_ids,memory_type,capacity_gb_total_est,speed_mhz_est,module_count_est,storage_type,form_factor,storage_interface,pcie_generation_est,capacity_gb_est,category,brand,model,m2_slots,sata_ports,chipset,supported_sockets,cooler_type,max_tdp_w,height_mm,radiator_mm,wattage_w,native_12vhpwr,pcie_8pin_count,length_mm,supported_motherboard_form_factors,max_gpu_length_mm,max_cpu_cooler_height_mm,max_radiator_mm,psu_form_factor,max_psu_length_mm,drive_bays_35,drive_bays_25
CPU,BX8071514900KS,Intel,Core i9-14900KS,1,133,1592,https://cpu.userbenchmark.com/SpeedTest/2295306/IntelR-CoreTM-i9-14900KS,CPU_0001,LGA1700,DDR4/DDR5,0,current_or_recent,medium,850000,benchmark/generation heuristic,KRW,2026-05,Estimated Korean market representative price; verify live prices before checkout.,MB_LGA1700_H610_D4_009|MB_LGA1700_B760_D4_010|MB_LGA1700_B760_D5_011|MB_LGA1700_Z790_D5_012|MB_LGA1700_Z790_D4_013,COOL_AIR_002|COOL_AIR_003|COOL_AIR_004|COOL_AIR_005|COOL_AIR_006|COOL_AIR_007|COOL_AIR_008|COOL_AIO_009|COOL_AIO_010|COOL_AIO_011|COOL_AIO_012|COOL_AIO_013|COOL_AIO_014|COOL_AIR_015|COOL_AIR_016|COOL_AIO_017|COOL_AIR_018|COOL_AIR_019|COOL_AIO_020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPU,BX8071514900KF,Intel,Core i9-14900KF,2,131,7773,https://cpu.userbenchmark.com/SpeedTest/2212218/IntelR-CoreTM-i9-14900KF,CPU_0002,LGA1700,DDR4/DDR5,0,current_or_recent,medium,670000,benchmark/generation heuristic,KRW,2026-05,Estimated Korean market representative price; verify live prices before checkout.,MB_LGA1700_H610_D4_009|MB_LGA1700_B760_D4_010|MB_LGA1700_B760_D5_011|MB_LGA1700_Z790_D5_012|MB_LGA1700_Z790_D4_013,COOL_AIR_002|COOL_AIR_003|COOL_AIR_004|COOL_AIR_005|COOL_AIR_006|COOL_AIR_007|COOL_AIR_008|COOL_AIO_009|COOL_AIO_010|COOL_AIO_011|COOL_AIO_012|COOL_AIO_013|COOL_AIO_014|COOL_AIR_015|COOL_AIR_016|COOL_AIO_017|COOL_AIR_018|COOL_AIR_019|COOL_AIO_020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPU,BX8071514900K,Intel,Core i9-14900K,3,131,19876,https://cpu.userbenchmark.com/Intel-Core-i9-14900K/Rating/4151,CPU_0003,LGA1700,DDR4/DDR5,0,current_or_recent,medium,720000,benchmark/generation heuristic,KRW,2026-05,Estimated Korean market representative price; verify live prices before checkout.,MB_LGA1700_H610_D4_009|MB_LGA1700_B760_D4_010|MB_LGA1700_B760_D5_011|MB_LGA1700_Z790_D5_012|MB_LGA1700_Z790_D4_013,COOL_AIR_002|COOL_AIR_003|COOL_AIR_004|COOL_AIR_005|COOL_AIR_006|COOL_AIR_007|COOL_AIR_008|COOL_AIO_009|COOL_AIO_010|COOL_AIO_011|COOL_AIO_012|COOL_AIO_013|COOL_AIO_014|COOL_AIR_015|COOL_AIR_016|COOL_AIO_017|COOL_AIR_018|COOL_AIR_019|COOL_AIO_020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPU,BX8071513900KS,Intel,Core i9-13900KS,4,131,4204,https://cpu.userbenchmark.com/SpeedTest/2000819/13th-Gen-IntelR-CoreTM-i9-13900KS,CPU_0004,LGA1700,DDR4/DDR5,0,current_or_recent,medium,590000,benchmark/generation heuristic,KRW,2026-05,Estimated Korean market representative price; verify live prices before checkout.,MB_LGA1700_H610_D4_009|MB_LGA1700_B760_D4_010|MB_LGA1700_B760_D5_011|MB_LGA1700_Z790_D5_012|MB_LGA1700_Z790_D4_013,COOL_AIR_002|COOL_AIR_003|COOL_AIR_004|COOL_AIR_005|COOL_AIR_006|COOL_AIR_007|COOL_AIR_008|COOL_AIO_009|COOL_AIO_010|COOL_AIO_011|COOL_AIO_012|COOL_AIO_013|COOL_AIO_014|COOL_AIR_015|COOL_AIR_016|COOL_AIO_017|COOL_AIR_018|COOL_AIR_019|COOL_AIO_020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPU,BX8071514700KF,Intel,Core i7-14700KF,5,130,4842,https://cpu.userbenchmark.com/SpeedTest/2212020/IntelR-CoreTM-i7-14700KF,CPU_0005,LGA1700,DDR4/DDR5,0,current_or_recent,medium,960000,benchmark/generation heuristic,KRW,2026-05,Estimated Korean market representative price; verify live prices before checkout.,MB_LGA1700_H610_D4_009|MB_LGA1700_B760_D4_010|MB_LGA1700_B760_D5_011|MB_LGA1700_Z790_D5_012|MB_LGA1700_Z790_D4_013,COOL_AIR_002|COOL_AIR_003|COOL_AIR_004|COOL_AIR_005|COOL_AIR_006|COOL_AIR_007|COOL_AIR_008|COOL_AIO_009|COOL_AIO_010|COOL_AIO_011|COOL_AIO_012|COOL_AIO_013|COOL_AIO_014|COOL_AIR_015|COOL_AIR_016|COOL_AIO_017|COOL_AIR_018|COOL_AIR_019|COOL_AIO_020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPU,BX8071514700K,Intel,Core i7-14700K,6,130,10287,https://cpu.userbenchmark.com/Intel-Core-i7-14700K/Rating/4152,CPU_0006,LGA1700,DDR4/DDR5,0,current_or_recent,medium,960000,benchmark/generation heuristic,KRW,2026-05,Estimated Korean market representative price; verify live prices before checkout.,MB_LGA1700_H610_D4_009|MB_LGA1700_B760_D4_010|MB_LGA1700_B760_D5_011|MB_LGA1700_Z790_D5_012|MB_LGA1700_Z790_D4_013,COOL_AIR_002|COOL_AIR_003|COOL_AIR_004|COOL_AIR_005|COOL_AIR_006|COOL_AIR_007|COOL_AIR_008|COOL_AIO_009|COOL_AIO_010|COOL_AIO_011|COOL_AIO_012|COOL_AIO_013|COOL_AIO_014|COOL_AIR_015|COOL_AIR_016|COOL_AIO_017|COOL_AIR_018|COOL_AIR_019|COOL_AIO_020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPU,100-100001978WOF,AMD,Ryzen 9 9950X3D2,7,129,25,https://cpu.userbenchmark.com/SpeedTest/2517448/AMD-Ryzen-9-9950X3D2-16-Core-Processor,CPU_0007,AM4/AM3_legacy,DDR3/DDR4,0,used_or_legacy,low,460000,benchmark/generation heuristic,KRW,2026-05,Estimated Korean market representative price; verify live prices before checkout.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPU,BX8071513900KF,Intel,Core i9-13900KF,8,129,16914,https://cpu.userbenchmark.com/SpeedTest/1946957/13th-Gen-IntelR-CoreTM-i9-13900KF,CPU_0008,LGA1700,DDR4/DDR5,0,current_or_recent,medium,590000,benchmark/generation heuristic,KRW,2026-05,Estimated Korean market representative price; verify live prices before checkout.,MB_LGA1700_H610_D4_009|MB_LGA1700_B760_D4_010|MB_LGA1700_B760_D5_011|MB_LGA1700_Z790_D5_012|MB_LGA1700_Z790_D4_013,COOL_AIR_002|COOL_AIR_003|COOL_AIR_004|COOL_AIR_005|COOL_AIR_006|COOL_AIR_007|COOL_AIR_008|COOL_AIO_009|COOL_AIO_010|COOL_AIO_011|COOL_AIO_012|COOL_AIO_013|COOL_AIO_014|COOL_AIR_015|COOL_AIR_016|COOL_AIO_017|COOL_AIR_018|COOL_AIR_019|COOL_AIO_020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPU,BX8071513900K,Intel,Core i9-13900K,9,129,49132,https://cpu.userbenchmark.com/Intel-Core-i9-13900K/Rating/4129,CPU_0009,LGA1700,DDR4/DDR5,0,current_or_recent,medium,590000,benchmark/generation heuristic,KRW,2026-05,Estimated Korean market representative price; verify live prices before checkout.,MB_LGA1700_H610_D4_009|MB_LGA1700_B760_D4_010|MB_LGA1700_B760_D5_011|MB_LGA1700_Z790_D5_012|MB_LGA1700_Z790_D4_013,COOL_AIR_002|COOL_AIR_003|COOL_AIR_004|COOL_AIR_005|COOL_AIR_006|COOL_AIR_007|COOL_AIR_008|COOL_AIO_009|COOL_AIO_010|COOL_AIO_011|COOL_AIO_012|COOL_AIO_013|COOL_AIO_014|COOL_AIR_015|COOL_AIR_016|COOL_AIO_017|COOL_AIR_018|COOL_AIR_019|COOL_AIO_020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPU,100-100001084WOF,AMD,Ryzen 7 9800X3D,10,128,15972,https://cpu.userbenchmark.com/AMD-Ryzen-7-9800X3D/Rating/4191,CPU_0010,AM5,DDR5,0,current_or_recent,medium,680000,benchmark/generation heuristic,KRW,2026-05,Estimated Korean market representative price; verify live prices before checkout.,MB_AM5_B650M_001|MB_AM5_B650_002|MB_AM5_X670E_003|MB_AM5_B850_004|MB_AM5_X870E_005,COOL_AIR_001|COOL_AIR_003|COOL_AIR_004|COOL_AIR_005|COOL_AIR_006|COOL_AIR_007|COOL_AIR_008|COOL_AIO_009|COOL_AIO_010|COOL_AIO_011|COOL_AIO_012|COOL_AIO_013|COOL_AIO_014|COOL_AIR_015|COOL_AIR_016|COOL_AIO_017|COOL_AIR_018|COOL_AIR_019|COOL_AIO_020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
