Type,Part Number,Brand,Model,Rank,Benchmark,Samples,URL,part_id,storage_type,form_factor,storage_interface,pcie_generation_est,capacity_gb_est,market_status,inference_confidence,price_krw_estimate,price_basis,price_currency,price_reference_date,data_warning,compatible_motherboard_ids
USB,MKNUFDVU240GB,Mushkin,Ventura Ultra USB 3.0 240GB,1,151,27,https://usb.userbenchmark.com/SpeedTest/7528/Mushkin-Ventura-Ultra,USB_0001,USB,External,USB external,,240,current_or_recent,medium,43000,external USB capacity heuristic,KRW,2026-05,Estimated Korean market representative price; verify live prices before checkout.,MB_AM5_B650M_001|MB_AM5_B650_002|MB_AM5_X670E_003|MB_AM5_B850_004|MB_AM5_X870E_005|MB_AM4_A520M_006|MB_AM4_B550M_007|MB_AM4_X570_008|MB_LGA1700_H610_D4_009|MB_LGA1700_B760_D4_010|MB_LGA1700_B760_D5_011|MB_LGA1700_Z790_D5_012|MB_LGA1700_Z790_D4_013|MB_LGA1851_B860_014|MB_LGA1851_Z890_015|MB_LGA1200_B560_016|MB_LGA1200_Z590_017|MB_LGA1151_B365_018|MB_sTR5_TRX50_019|MB_LGA2066_X299_020
USB,MKNUFDVU60GB,Mushkin,Ventura Ultra USB 3.0 60GB,2,143,38,https://usb.userbenchmark.com/Mushkin-Ventura-Ultra-USB-30-60GB/Rating/2281,USB_0002,USB,External,USB external,,60,used_or_legacy,medium,21000,external USB capacity heuristic,KRW,2026-05,Estimated Korean market representative price; verify live prices before checkout.,MB_AM5_B650M_001|MB_AM5_B650_002|MB_AM5_X670E_003|MB_AM5_B850_004|MB_AM5_X870E_005|MB_AM4_A520M_006|MB_AM4_B550M_007|MB_AM4_X570_008|MB_LGA1700_H610_D4_009|MB_LGA1700_B760_D4_010|MB_LGA1700_B760_D5_011|MB_LGA1700_Z790_D5_012|MB_LGA1700_Z790_D4_013|MB_LGA1851_B860_014|MB_LGA1851_Z890_015|MB_LGA1200_B560_016|MB_LGA1200_Z590_017|MB_LGA1151_B365_018|MB_sTR5_TRX50_019|MB_LGA2066_X299_020
USB,MKNUFDVU120GB,Mushkin,Ventura Ultra USB 3.0 120GB,3,140,48,https://usb.userbenchmark.com/SpeedTest/8396/Mushkin-Ventura-Ultra,USB_0003,USB,External,USB external,,120,used_or_legacy,medium,42000,external USB capacity heuristic,KRW,2026-05,Estimated Korean market representative price; verify live prices before checkout.,MB_AM5_B650M_001|MB_AM5_B650_002|MB_AM5_X670E_003|MB_AM5_B850_004|MB_AM5_X870E_005|MB_AM4_A520M_006|MB_AM4_B550M_007|MB_AM4_X570_008|MB_LGA1700_H610_D4_009|MB_LGA1700_B760_D4_010|MB_LGA1700_B760_D5_011|MB_LGA1700_Z790_D5_012|MB_LGA1700_Z790_D4_013|MB_LGA1851_B860_014|MB_LGA1851_Z890_015|MB_LGA1200_B560_016|MB_LGA1200_Z590_017|MB_LGA1151_B365_018|MB_sTR5_TRX50_019|MB_LGA2066_X299_020
USB,CMFVYGTX3-256GB,Corsair,Flash Voyager GTX USB 3.0 256GB,4,114,71,https://usb.userbenchmark.com/SpeedTest/12583/Corsair-Voyager-GTX,USB_0004,USB,External,USB external,,256,current_or_recent,medium,46000,external USB capacity heuristic,KRW,2026-05,Estimated Korean market representative price; verify live prices before checkout.,MB_AM5_B650M_001|MB_AM5_B650_002|MB_AM5_X670E_003|MB_AM5_B850_004|MB_AM5_X870E_005|MB_AM4_A520M_006|MB_AM4_B550M_007|MB_AM4_X570_008|MB_LGA1700_H610_D4_009|MB_LGA1700_B760_D4_010|MB_LGA1700_B760_D5_011|MB_LGA1700_Z790_D5_012|MB_LGA1700_Z790_D4_013|MB_LGA1851_B860_014|MB_LGA1851_Z890_015|MB_LGA1200_B560_016|MB_LGA1200_Z590_017|MB_LGA1151_B365_018|MB_sTR5_TRX50_019|MB_LGA2066_X299_020
USB,CMFVYGTX3-128GB,Corsair,Flash Voyager GTX USB 3.0 128GB,5,114,102,https://usb.userbenchmark.com/SpeedTest/13691/Corsair-Voyager-GTX,USB_0005,USB,External,USB external,,128,current_or_recent,medium,45000,external USB capacity heuristic,KRW,2026-05,Estimated Korean market representative price; verify live prices before checkout.,MB_AM5_B650M_001|MB_AM5_B650_002|MB_AM5_X670E_003|MB_AM5_B850_004|MB_AM5_X870E_005|MB_AM4_A520M_006|MB_AM4_B550M_007|MB_AM4_X570_008|MB_LGA1700_H610_D4_009|MB_LGA1700_B760_D4_010|MB_LGA1700_B760_D5_011|MB_LGA1700_Z790_D5_012|MB_LGA1700_Z790_D4_013|MB_LGA1851_B860_014|MB_LGA1851_Z890_015|MB_LGA1200_B560_016|MB_LGA1200_Z590_017|MB_LGA1151_B365_018|MB_sTR5_TRX50_019|MB_LGA2066_X299_020
USB,SDCZ88-128G,SanDisk,Extreme Pro USB 3.0 128GB,6,81.4,1435,https://usb.userbenchmark.com/SpeedTest/7603/SanDisk-ExtremePro,USB_0006,USB,External,USB external,,128,current_or_recent,medium,45000,external USB capacity heuristic,KRW,2026-05,Estimated Korean market representative price; verify live prices before checkout.,MB_AM5_B650M_001|MB_AM5_B650_002|MB_AM5_X670E_003|MB_AM5_B850_004|MB_AM5_X870E_005|MB_AM4_A520M_006|MB_AM4_B550M_007|MB_AM4_X570_008|MB_LGA1700_H610_D4_009|MB_LGA1700_B760_D4_010|MB_LGA1700_B760_D5_011|MB_LGA1700_Z790_D5_012|MB_LGA1700_Z790_D4_013|MB_LGA1851_B860_014|MB_LGA1851_Z890_015|MB_LGA1200_B560_016|MB_LGA1200_Z590_017|MB_LGA1151_B365_018|MB_sTR5_TRX50_019|MB_LGA2066_X299_020
USB,SDCZ80-064G,SanDisk,Extreme USB 3.0 64GB,7,74,6221,https://usb.userbenchmark.com/SanDisk-Extreme-USB-30-64GB/Rating/1459,USB_0007,USB,External,USB external,,64,used_or_legacy,medium,22000,external USB capacity heuristic,KRW,2026-05,Estimated Korean market representative price; verify live prices before checkout.,MB_AM5_B650M_001|MB_AM5_B650_002|MB_AM5_X670E_003|MB_AM5_B850_004|MB_AM5_X870E_005|MB_AM4_A520M_006|MB_AM4_B550M_007|MB_AM4_X570_008|MB_LGA1700_H610_D4_009|MB_LGA1700_B760_D4_010|MB_LGA1700_B760_D5_011|MB_LGA1700_Z790_D5_012|MB_LGA1700_Z790_D4_013|MB_LGA1851_B860_014|MB_LGA1851_Z890_015|MB_LGA1200_B560_016|MB_LGA1200_Z590_017|MB_LGA1151_B365_018|MB_sTR5_TRX50_019|MB_LGA2066_X299_020
USB,MUF-64BB/US,Samsung,FIT USB 3.0 64GB,8,69,4291,https://usb.userbenchmark.com/SpeedTest/36937/Samsung-Flash-Drive-FIT,USB_0008,USB,External,USB external,,64,used_or_legacy,medium,22000,external USB capacity heuristic,KRW,2026-05,Estimated Korean market representative price; verify live prices before checkout.,MB_AM5_B650M_001|MB_AM5_B650_002|MB_AM5_X670E_003|MB_AM5_B850_004|MB_AM5_X870E_005|MB_AM4_A520M_006|MB_AM4_B550M_007|MB_AM4_X570_008|MB_LGA1700_H610_D4_009|MB_LGA1700_B760_D4_010|MB_LGA1700_B760_D5_011|MB_LGA1700_Z790_D5_012|MB_LGA1700_Z790_D4_013|MB_LGA1851_B860_014|MB_LGA1851_Z890_015|MB_LGA1200_B560_016|MB_LGA1200_Z590_017|MB_LGA1151_B365_018|MB_sTR5_TRX50_019|MB_LGA2066_X299_020
USB,SDCZ80-032G,SanDisk,Extreme USB 3.0 32GB,9,64.5,4213,https://usb.userbenchmark.com/SanDisk-Extreme-USB-30-32GB/Rating/1466,USB_0009,USB,External,USB external,,32,used_or_legacy,medium,11000,external USB capacity heuristic,KRW,2026-05,Estimated Korean market representative price; verify live prices before checkout.,MB_AM5_B650M_001|MB_AM5_B650_002|MB_AM5_X670E_003|MB_AM5_B850_004|MB_AM5_X870E_005|MB_AM4_A520M_006|MB_AM4_B550M_007|MB_AM4_X570_008|MB_LGA1700_H610_D4_009|MB_LGA1700_B760_D4_010|MB_LGA1700_B760_D5_011|MB_LGA1700_Z790_D5_012|MB_LGA1700_Z790_D4_013|MB_LGA1851_B860_014|MB_LGA1851_Z890_015|MB_LGA1200_B560_016|MB_LGA1200_Z590_017|MB_LGA1151_B365_018|MB_sTR5_TRX50_019|MB_LGA2066_X299_020
USB,,Drobo,Mini 4.5TB,10,63.2,15,https://usb.userbenchmark.com/SpeedTest/2759/Drobo-Mini,USB_0010,USB,External,USB external,,4608,current_or_recent,medium,830000,external USB capacity heuristic,KRW,2026-05,Estimated Korean market representative price; verify live prices before checkout.,MB_AM5_B650M_001|MB_AM5_B650_002|MB_AM5_X670E_003|MB_AM5_B850_004|MB_AM5_X870E_005|MB_AM4_A520M_006|MB_AM4_B550M_007|MB_AM4_X570_008|MB_LGA1700_H610_D4_009|MB_LGA1700_B760_D4_010|MB_LGA1700_B760_D5_011|MB_LGA1700_Z790_D5_012|MB_LGA1700_Z790_D4_013|MB_LGA1851_B860_014|MB_LGA1851_Z890_015|MB_LGA1200_B560_016|MB_LGA1200_Z590_017|MB_LGA1151_B365_018|MB_sTR5_TRX50_019|MB_LGA2066_X299_020
