part_id,category,brand,model,wattage_w,form_factor,native_12vhpwr,pcie_8pin_count,length_mm,price_krw_estimate
PSU_ATX_500_001,PSU,Micronics,Classic II 500W 80PLUS Bronze,500,ATX,False,2,140,55000
PSU_ATX_600_002,PSU,FSP,HYDRO K PRO 600W Bronze,600,ATX,False,2,150,70000
PSU_ATX_650_003,PSU,Cooler Master,MWE Gold 650 V2,650,ATX,False,4,160,100000
PSU_ATX_700_004,PSU,MSI,MAG A700BN PCIE5,700,ATX,True,3,150,90000
PSU_ATX_750_005,PSU,Seasonic,FOCUS GX-750 ATX 3.0,750,ATX,True,4,140,160000
PSU_ATX_750_006,PSU,Corsair,RM750e ATX 3.0,750,ATX,True,4,140,150000
PSU_ATX_850_007,PSU,MSI,MPG A850G PCIE5,850,ATX,True,5,150,180000
PSU_ATX_850_008,PSU,FSP,Hydro G Pro 850W ATX 3.0,850,ATX,True,5,150,190000
PSU_ATX_1000_009,PSU,Corsair,RM1000x Shift ATX 3.1,1000,ATX,True,6,180,280000
PSU_ATX_1000_010,PSU,Seasonic,VERTEX GX-1000 ATX 3.0,1000,ATX,True,6,160,300000
PSU_ATX_1200_011,PSU,be quiet!,Dark Power 13 1200W,1200,ATX,True,6,175,430000
PSU_ATX_1300_012,PSU,SuperFlower,LEADEX VII Gold 1300W,1300,ATX,True,8,160,360000
PSU_SFX_650_013,PSU,SilverStone,SX650-G SFX,650,SFX,False,4,100,160000
PSU_SFX_750_014,PSU,Corsair,SF750 Platinum,750,SFX,False,4,100,220000
PSU_SFX_850_015,PSU,Cooler Master,V850 SFX Gold ATX 3.0,850,SFX,True,4,100,240000
PSU_SFX_1000_016,PSU,ASUS,ROG Loki 1000W SFX-L,1000,SFX-L,True,4,125,360000
PSU_ATX_1600_017,PSU,Corsair,AX1600i Titanium,1600,ATX,False,10,200,750000
PSU_ATX_1200_018,PSU,MSI,MEG Ai1300P PCIE5,1300,ATX,True,8,160,480000
PSU_ATX_550_019,PSU,Antec,NeoECO 550W Bronze,550,ATX,False,2,140,60000
PSU_ATX_850_020,PSU,Antec,NE850G M ATX 3.0,850,ATX,True,5,140,170000
