part_id,category,brand,model,supported_sockets,cooler_type,max_tdp_w,height_mm,radiator_mm,price_krw_estimate
COOL_AIR_001,Cooler,AMD,Wraith Stealth Stock,AM4|AM5,Air,65,54,0,15000
COOL_AIR_002,Cooler,Intel,Laminar RM1 Stock,LGA1700,Air,65,47,0,15000
COOL_AIR_003,Cooler,DeepCool,AG400,AM4|AM5|LGA1700|LGA1851|LGA1200|LGA1151,Air,180,150,0,30000
COOL_AIR_004,Cooler,DeepCool,AK400 Digital,AM4|AM5|LGA1700|LGA1851|LGA1200|LGA1151,Air,220,156,0,55000
COOL_AIR_005,Cooler,Thermalright,Peerless Assassin 120 SE,AM4|AM5|LGA1700|LGA1851|LGA1200|LGA1151,Air,250,155,0,45000
COOL_AIR_006,Cooler,Thermalright,Phantom Spirit 120 EVO,AM4|AM5|LGA1700|LGA1851|LGA1200|LGA1151,Air,270,157,0,65000
COOL_AIR_007,Cooler,Noctua,NH-D15 chromax.black,AM4|AM5|LGA1700|LGA1851|LGA1200|LGA1151|LGA2066,Air,280,165,0,170000
COOL_AIR_008,Cooler,be quiet!,Dark Rock Pro 5,AM4|AM5|LGA1700|LGA1851|LGA1200|LGA1151,Air,270,168,0,140000
COOL_AIO_009,Cooler,ARCTIC,Liquid Freezer III 240,AM4|AM5|LGA1700|LGA1851,AIO,280,0,240,120000
COOL_AIO_010,Cooler,ARCTIC,Liquid Freezer III 360,AM4|AM5|LGA1700|LGA1851,AIO,350,0,360,170000
COOL_AIO_011,Cooler,Corsair,iCUE H100i RGB Elite 240,AM4|AM5|LGA1700|LGA1851|LGA1200|LGA1151,AIO,270,0,240,180000
COOL_AIO_012,Cooler,Corsair,iCUE H150i Elite 360,AM4|AM5|LGA1700|LGA1851|LGA1200|LGA1151,AIO,350,0,360,260000
COOL_AIO_013,Cooler,NZXT,Kraken 240,AM4|AM5|LGA1700|LGA1851|LGA1200|LGA1151,AIO,270,0,240,190000
COOL_AIO_014,Cooler,NZXT,Kraken Elite 360 RGB,AM4|AM5|LGA1700|LGA1851|LGA1200|LGA1151,AIO,350,0,360,360000
COOL_AIR_015,Cooler,Cooler Master,Hyper 212 Halo,AM4|AM5|LGA1700|LGA1851|LGA1200|LGA1151,Air,170,154,0,45000
COOL_AIR_016,Cooler,ID-COOLING,FROZN A620,AM4|AM5|LGA1700|LGA1851|LGA1200|LGA1151,Air,260,154,0,60000
COOL_AIO_017,Cooler,Lian Li,Galahad II Trinity 360,AM4|AM5|LGA1700|LGA1851|LGA1200|LGA1151,AIO,350,0,360,230000
COOL_AIR_018,Cooler,Noctua,NH-U12A,AM4|AM5|LGA1700|LGA1851|LGA1200|LGA1151|LGA2066,Air,240,158,0,150000
COOL_AIR_019,Cooler,Thermalright,Silver Soul 135,AM4|AM5|LGA1700|LGA1851|LGA1200|LGA1151,Air,220,135,0,50000
COOL_AIO_020,Cooler,DeepCool,LS720 SE 360,AM4|AM5|LGA1700|LGA1851|LGA1200|LGA1151,AIO,330,0,360,160000
